商品名,原价,活动价,页面网址,月销量,图片地址,评论时间,评论人,评价内容,追评,追评时间,属性1,属性2,属性3
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN84GK7wS8eNyRGvApsYKEGvsK7CMnniiW36mL2x73rf4VgZYfEaoHgzvLmwquQ93QaMjemj22T5stCFdEmZwKpqWTVQTekCJDVj957h8fkdKRzE5FXEDhDXMWmHbv5aZQSVNKj7sYf71Xa9J7taMgj8gAffZi8Yc8UWM
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png",12天前,成**4,非常好看好用的一款空调，价格也是十分美丽，物流速度很快！安装师傅也很热情！下次还会推荐亲戚过来买！,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN84GK7wS8eNyRGvApsYKEGvsK7CMnniiVhrNrHGkabMNuYLSBu1wBivDRfU7pWqqp3zcxcVXkHbp2Zvg6kYfwVaJDdML3GMhfdvHywP6Dzuaf9zoQ4fnNB2Xb4Xw9UmbfjyrpJodFxsQqd6p57tCHfAx4qaNq4RKLDuB
//gw.alicdn.com/imgextra/i4/O1CN01SOmYZK2IfPNqUmmOZ_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01GVKel32IfPNrpJQhG_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01r8Wp7t2IfPO06wFyF_!!0-rate.jpg_110x10000q90.jpg_.webp",19天前,y**4,功率大小：1.5 在网上看了好久，最终选择了这台，发货很快一到就预约好开始安装了，师傅很用心安装很顺利，以前买过用的不错，大品牌值得推荐。哈哈。 ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i1/O1CN01JL9vtH1rWFqKh3Dzn_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i2/O1CN01NVC64T1rWFqOqPGzy_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN01g8gYsb1rWFqOqNzyS_!!0-rate.jpg_110x10000q90.jpg_.webp",20天前,尼**拉,现在买空调，安装是最快的，我上一台也是美的空调，夜晚很安静，制冷效果杠杠的。安装师傅很好。那天忘了拍照了。美的性价比高。,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN83923zmuymB7mAxzdJYhCQgHkwKMahmn121G1dJAbxTcQUhDswN1Lc2VXq8umXged8wmCaADGDzNeHMdwFnPUbGqCuKUfp8Yk3hJXSWL5f3E2brsS6nVw1g8
//gw.alicdn.com/imgextra/i3/O1CN017KFdEr1rxjbd9OXmP_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN01nwcHG41rxjbklC21e_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01VwGXh31rxjbd9OXr0_!!0-rate.jpg_110x10000q90.jpg_.webp",22天前,h**s,昨天晚上下单的，今天早上就装好了，现在的送装服务真是太方便，速度太快了，小哥安装的速度也是非常的快，安装的也是非常的好 ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png",27天前,金**9,又快到盛夏酷暑了，家里的空调超过8年，该换新了，一直使用美的的空调，节电，静音，变频，使用时间长也不用担心电费，室外机也没噪音运行平稳，要用空调还是美的变频更可靠，哈哈！ ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN83923zmuymBQ3gdRkR6VYRuZTqY2NEGbnusu4xWt9sTPYgH2pJu114zaULFBX35MexTHxkP3XKasM4663vPerom5gGMRpCd2n1LjGT7YWPLiWxcXcbhBqX3G
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png
//gw.alicdn.com/imgextra/i4/O1CN01CYtPWu1MUBqQAUK9D_!!6000000001437-2-tps-2-2.png",27天前,1**o,前一天买，第二天就到了，到了货师傅就来安装，装的也快，一共买了四台下午来的一次弄好，走的时候还搞了卫生，不错不错，哈哈 ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i1/O1CN01XfEkm41OJmBw9Recb_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01GQm2Ft1OJmC0B8Wk7_!!0-tbbala.jpg_110x10000q90.jpg_.webp",1个月前,g**1,非常意外效果太好了，款式大方时髦，客服信心安装专业强烈推荐,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i2/O1CN01rH6O2T22oXQkCIAfI_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN01u1QhrZ22oXQpylRBN_!!0-rate.jpg_110x10000q90.jpg_.webp",8天前,h**宏,安装服务：安装师傅很专业 效率高 服务一级棒  ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i3/O1CN01lfuT1b26Zf1qyLNce_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01gUZ2Bj26Zf1jsH7iB_!!0-rate.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01ICJnVF26Zf1ljMmyh_!!0-rate.jpg_110x10000q90.jpg_.webp",12天前,t**3,物流很快两天就到了，安装师傅也很专业，买了两个大品牌值得信赖 ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN84GK7wS8eNyRGvApsYKEGvsK7CMnniiVYsHnesCdcjgW4KCVUzNrvhPFjRBFwi7P5khLttGkYvGGRsTpa79q8sjwSLqMeLXmB31yENp8AoCFBiAsCeajAUctXqfhT11MmuQMQHpcnt7z2u9S9A2WqdAMqpChgwrduyj
//gw.alicdn.com/imgextra/i3/O1CN018fnvdv1paG4oV2shg_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN019grfg429ync5M0kPs_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01YZLctG1DmfP9wB6ny_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01236opG1paG4kmGVcR_!!0-tbbala.jpg_110x10000q90.jpg_.webp",13天前,小**a,空调声音很小很小，没有什么噪音，效果很不错，制冷也很快，安装师傅态度很赞！ ,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://sns.m.taobao.com/avatar/sns/user/flag/sns_logo?type=taobao&amp;kn=wwc_tb_11&amp;bizCode=taobao_avatar&amp;userFlag=RAzN84GK7wS8eP1vBQpKxkAbgK6y7jjccKm2Poqm4Rokg7m61RLZJ7T1KBHhgtFDTHS8hze6fzeemFshFiaXM95ogdcUFJDQeHqvZHMJYyZLdE2LC4wdg44LFyzYmP4S1CeTkCNPVy1G6a13LgMDxs9yDzo7YYviTyZLgbs
//gw.alicdn.com/imgextra/i3/O1CN01c0ZgZH1NGHYmveLBk_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i3/O1CN01EOrVcb1NGHYcnccoF_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01CrySBz1NGHYcnaPXk_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN01l83lIr1NGHYgzQzkt_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN01059o6G1NGHYouJ3rE_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i2/O1CN01JPBmQF1NGHYgzNdsi_!!0-tbbala.jpg_110x10000q90.jpg_.webp",16天前,t**8,制冷效果很快，而且压缩机的声音也很小，基本上不仔细听都听不出，非常满意。“哈哈”,,, 极地白,,
【新一级能效】美的酷金/1.5匹变频空调冷暖家用挂机智能官方旗舰,3299,2669,https://detail.tmall.com/item.htm?abbucket=1&id=622966874369&rn=abce87c80a1362441bdc417b0d1e2238&skuId=4572930746054&spm=a1z10.15-b-s.w4011-15096535908.101.286f2aa0IyhHXh,月销 3000+,"http://img.alicdn.com/tps/TB1l6dkOXXXXXXEXVXXXXXXXXXX-210-210.png_70x70.jpg
//gw.alicdn.com/imgextra/i1/O1CN01IFMJka2JQ7micigGi_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i4/O1CN012snFOg2JQ7mfbYYEP_!!0-tbbala.jpg_110x10000q90.jpg_.webp
//gw.alicdn.com/imgextra/i1/O1CN01kHdd232JQ7mlc6VSN_!!0-tbbala.jpg_110x10000q90.jpg_.webp",17天前,t**8,制冷 热效果：很好 安装服务：安装非常满意 ,,, 极地白,,
