ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Super quiet
  
",5.0 颗星，最多 5 颗星,t,评论于 2023年4月7日 在美国 🇺🇸 发布,"







  
  
    This is the BEST window AC unit we’ve ever had. We like to keep our bedroom colder at night while turning off the heat/AC in the entire house. My problem has always been the noise of a window unit. I have sensitive hearing and the constant droning, on and off, of a standard window unit compressor keeps me up at night. We read the reviews about this brand and thought we’d give it a try. Amazingly quiet, efficient, easy to operate, and cools our 15x13 bedroom very well!!! Our only minor complaint was that the installation/instruction book was not written clearly.  Easy to remedy…we got online and watched several YouTube Midea installation videos. We would recommend this 1000%!
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Blows cold and is very quiet
  
",5.0 颗星，最多 5 颗星,ruby,评论于 2023年4月7日 在美国 🇺🇸 发布,"







  
  
    I love the air conditioner, although I have a very wide window so I had to improvise to properly seal the unit as the support bracket does not stretch far enough to be screwed in to the side of window frame. The provided sealing blocks don’t compensate for wide windows. So what I did is cut the styrofoam packaging to the same dimensions as the foam blocks which worked perfectly, just make sure you make it a tight fit if you attempt this. I bought this because my central AC struggles in the summer so this will definitely help as well as it being quiet so it won’t disturb my baby as she sleeps.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Stay away!
  
",1.0 颗星，最多 5 颗星,TEEWA,评论于 2023年4月7日 在美国 🇺🇸 发布,"







  
  
    Do not buy this unit!  After only 1.5 years of operation the coils all along the bottom of the unit are corroded!!!  Most humans would never take them time to take it apart and clean it!  I felt compelled to do so because of a funky odor coming out of it.  After doing some research I decided to head to hardware store to purchase some coil cleaner and clean it myself as I am a professional handyman and felt i could take on the job. My recommendation to you is to stay away from this product as they refused to replace it do to the 1 year warranty policy!  This unit is defective and there is no way it should be on the market at all due to corrosion/materials issues!
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Pleased!
  
",5.0 颗星，最多 5 颗星,Amazon Customer,评论于 2023年4月7日 在美国 🇺🇸 发布,"







  
  
    It is quiet inside the room. The compressor kicking on and off outside does not bother you inside. It is as quiet as they say. There is plenty of features to suit your needs. The eco mode needs to be set every time you turn it on, as to have a fan running continuous not to disturb you. Overall, very pleased.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    works greatly
  
",5.0 颗星，最多 5 颗星,j.nearing,评论于 2023年4月6日 在美国 🇺🇸 发布,"







  
  
    worth it
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Badly rusted after 1 year
  
",2.0 颗星，最多 5 颗星,John,评论于 2023年4月6日 在美国 🇺🇸 发布,"







  
  
    I store the unit inside the living place (not garage) and the next summer I saw the bottom of the radiator was badly rusted.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Requires precise location to use wifi, oh it still will not actually work though
  
",1.0 颗星，最多 5 颗星,Jjkd,评论于 2023年4月5日 在美国 🇺🇸 发布,"







  
  
    Clearly Midea's only priority in the app is to sell your precise location and other data as you will not be able to set up any of the features they promised.  Of course, after giving up all of your privacy, location, etc. do not expect this thing to actually work.  I want my money back, do not buy!!
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Does a good job.
  
",5.0 颗星，最多 5 颗星,Velina Wade,评论于 2023年4月4日 在美国 🇺🇸 发布,"







  
  
    Central air went out in my house and rather than replacing the unit we bought standing and window units. Cooling my house for around $2200 verses $6500. This one cools my 22' x 24' bedroom upstairs. Runs fairly quite. It does have kind of a bright light to show the temp it's set on, but you can block that in several ways. Great unit!!
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    great product
  
",5.0 颗星，最多 5 颗星,Ken,评论于 2023年4月4日 在美国 🇺🇸 发布,"







  
  
    It was not hard to install I think any handy person could do itthe biggest surprise was to see how quiet it is thats a big plusmy old vacuum was a window unit that was not the ""U"" shaped design as this oneby being in that design the noisy compressor is outside of the window which cuts downon the noise level.very clear control panel
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    5 star unit but system for foam sealing is slightly awkward
  
",5.0 颗星，最多 5 颗星,BB,评论于 2023年4月2日 在美国 🇺🇸 发布,"







  
  
    I am truly awed by the design and function of this air conditioner, a machine that I've always taken for granted and largely ignored. As someone who has owned probably 10 window units in my life, this one's design is really a breath of fresh air (pun intended!). It's not just the fact that the window can go through the unit, which let's in a surprising amount of natural light that would otherwise be lost, it's also how well designed the safety precautions and unit-window fit are. The operation is quiet as heck, and the unit cools the place down fast. Moreover, in my opinion anyway, the price difference between this unit and a traditional one is really acceptable (~$150).Installation was easy, basically you just screw the support bracket into your window sill and let gravity do the rest. Where I would knock off .01 star—there are 4 different foam materials that come with the unit to fill in the negative space. In one case, you are surrounding a large foam block with foam ribbon. In another, you are taping adhesive foam to cover holes in the bracket. In both cases, there is not enough foam ribbon or adhesive foam, and my window is only 32"" wide. Easy enough, just bought more at hardware store, but I was surprised that even after applying the four different foam materials as instructed, there was still a lot of space left to fill, especially considering how well everything else was designed (including the app). Def an amazing purchase.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    stopped working
  
",2.0 颗星，最多 5 颗星,Saber805,评论于 2023年3月31日 在美国 🇺🇸 发布,"







  
  
    unit stopped cooling after a year feel pretty ripped off as it was hardly used during that timeframe
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Worth every star!!
  
",5.0 颗星，最多 5 颗星,RG,评论于 2023年3月31日 在美国 🇺🇸 发布,"







  
  
    This 12,000 BTU unit cools 3 rooms of my house on LOW!!! Super quiet. Definitely worth a 5 star rating on price, installation, energy efficiency and cooling.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Last only one year then it breaks
  
",1.0 颗星，最多 5 颗星,zachary helfer,评论于 2023年3月30日 在美国 🇺🇸 发布,"







  
  
    So after running it the first year perfectly work great then the next year I try to plug it in I get pc00 and pc04 codes there's nothing on the internet how to fix it a complete waste of $400 do not recommend to buy to anyone ever
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Awful Support / Awful product
  
",1.0 颗星，最多 5 颗星,Wes,评论于 2023年3月29日 在美国 🇺🇸 发布,"







  
  
    The product kept tripping my circuit breaker after about 5 to 10 seconds of plugging it in. I have another portable unit that I use on the same outlet that uses considerably more power and has no issue. I called support to try to figure out if I should order a new one, and when I was asking about the product, they refused to help me and acted stupid until I gave them a model number.  I told them him it was the 8000 BTU window slotted unit that you could open and close your window with.  I told him I didn’t care about the unit I had because I’m sending it back and I’m going to order another one. I want to make sure I won’t have the same issue, but they kept concentrating on the unit that I had packed up in my garage and wanted me to go out there to get the actual model off the box. I have done support before and I knew my products well enough to provide support based on basic product information.  It is literally the first product that comes up. When you look at the window air conditioners.  They paid Slater from saved by the bell to do an advertisement for them for this air conditioner, and they acted like they had no idea what air conditioner I was talking about.  I actually asked for a supervisor and she got all pompous and said, why did you need a supervisor?!?!Also, the installation was awful. The foam pieces didn’t fit very well and weren’t very flexible, if that is the right word.  I had to cut slots into the foam to get it to go into the grooves of where the window slides.  There were still gaps, also gaps under the air conditioner where bugs can get in.All this effort installing it is, it didn’t even work. Do yourself a favor and plug it in first to see if trips your circuitry.  first picture is their unit power usage, and the second picture is the portable one I use with no issue in the same exact outlet.  The portable one uses far more power without any issues. I plugged into a UPS and left the UPS plugged in and same issue.  No erratic power I will spikes when the unit tripped the circuit though  Nothing for several minutes of letting it run on the ups to show any irregularities to cause it to keep tripping the circuit.  This is also with turning everything else in the room off.  The higher power portable air conditioner runs fine with everything else on in the room. The portable air conditioner is a 6.6 seer rating and the window unit is a 15 seer rating.  It makes no logical sense why this much of lower wattage unit is causing such an issue.  I guess I will never know because their support refused to help me because I wouldn’t go out to my garage to get the model number. All I wanted was confirmation that the unit was defective and this wasn’t normal.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Listen to the reviews
  
",5.0 颗星，最多 5 颗星,Andrew Momii,评论于 2023年3月28日 在美国 🇺🇸 发布,"







  
  
    I bought this after reading the reviews.  They did not disappoint.  This unit is very efficient and has plenty of power while being extremely quiet.  It is more or less a mini split just made very compact.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Very quite, not super powerful.
  
",4.0 颗星，最多 5 颗星,Nellie,评论于 2023年3月28日 在美国 🇺🇸 发布,"







  
  
    My partner and I purchased this AC because the one we had was so loud we couldn’t be in the room with it on. This new AC is very beautiful, high tech, and SUPER quiet. My only complaint with it is that it’s not super powerful. We got 800 BTU for a bedroom which is reasonable and it took a few hours to cool off. Since it’s energy efficient and so quiet, we just leave it on all the time so we don’t have to worry about how long it takes to cool off. Also using the app on your phone is pretty easy to control the AC from anywhere. It even tells you current temp inside and outside. I can’t speak for install because someone did that for me.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Great product
  
",5.0 颗星，最多 5 颗星,Rooster Wrangler,评论于 2023年3月28日 在美国 🇺🇸 发布,"







  
  
    I love this AC unit. A bit of a fiddle to install, but once installed it's perfect. Doesn't block the view out of the window, the window can be raised on those days when ac isn't needed, it's so quiet -quieter than my fridge! It's very efficient. I used one in my downstairs, which is roughly 1000 sq ft, and it did a great job of keeping it cool. I'll be getting a couple more!
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
,"







  
  
    Not recommended for humid climate - lack of drainage hole causes stagnant and odorous water buildup
  
",2.0 颗星，最多 5 颗星,Amazon Customer,评论于 2023年3月27日 在美国 🇺🇸 发布,"







  
  
    Bought this unit 3 months ago based on good general reviews and innovative designs. Installation was pretty easy and I followed directions to make sure it slanted backwards. Unit ran well and was good at meeting my cooling needs; everything seemed great at first.About 2 months in, started noticing a foul smell whenever the fans first start running from idle. Cleaned out the filter but the issue persisted. Started googling about this and discovered that many people had complaints with mold growth in this unit due to difficulty in taking the unit apart for cleaning, and also lack of drainage hole in the outside portion.I finally took the unit down and opened it up outside after the smell became unbearable and started to negatively affect my health. I discovered that about a third of the bottom of the outside unit is constantly submerged in about an inch and half of gross brownish gunky water filled dead bugs and god knows what. This water just sits there stagnant in the back of the ac, not high enough to spill out of the overflow, and a sniff confirmed that this was indeed the source of the same smell that I was getting indoors.After researching extensively into this topic, I found that Midea purposely doesn't have drainage holes in this unit so the fan can scope up the residual water buildup and splash it around as a cooling mechanism to save energy. There are however problems I found with this explanation; First of all, the circular scoop that the fan uses to pick up the water doesn't sit flush against the bottom of the case; Its actually about an inch up. This means that there needs to be at least an inch of water inside the case for it to even start using this feature. Unless this water is freshly condensed and then evaporates out routinely, you are going to have a stagnant water buildup inside this case, especially if you live anywhere humid like I do. What ends up happening is that you get a pool of gunky water filled with gross mold and whatnots, that the fan then picks up and proceeds to splash on all the fins in the machine, which eventually translates to unpleasant odor being blown into your room whenever it starts up.I rather not be breathing nasty, disease causing air compared to Midea hitting an energy saver milestone. At least give us the option of drain holes with plugs or something so we can choose between efficiency vs cleanliness . Unless you live somewhere really dry, or doesn't need to use this thing often, I cannot recommend a purchase of this unit. Giving it two stars because it actually works well with cooling (so far), but this is a major issue.Also. the fans on the indoor portion of the ac cannot be reached to be cleaned unless you take the entire front portion apart, unhooking wires, cables and all. Very unfriendly design for sustainable general maintenance.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4
